n,t_ns,swaps
2057,2.1290000000e+05,18052
2057,2.1850000000e+05,18883
2057,2.2020000000e+05,20246
2057,2.1120000000e+05,17950
2057,2.2280000000e+05,20597
2057,2.1460000000e+05,18303
2057,2.1140000000e+05,18053
2057,2.0470000000e+05,16700
2057,2.1880000000e+05,19036
2310,2.4720000000e+05,21731
2310,2.5350000000e+05,22894
2310,2.4120000000e+05,20204
2310,2.4180000000e+05,20123
2310,2.3620000000e+05,19385
2310,2.5340000000e+05,22699
2310,2.4370000000e+05,21619
2310,2.4780000000e+05,22459
2310,2.4640000000e+05,21442
2310,2.4960000000e+05,22551
2595,2.8010000000e+05,23579
2595,3.0440000000e+05,31084
2595,2.8490000000e+05,25701
2595,2.8540000000e+05,23200
2595,2.9120000000e+05,25537
2595,2.9090000000e+05,26459
2595,2.8340000000e+05,23593
2595,2.8270000000e+05,24215
2595,2.9690000000e+05,27538
2595,2.7810000000e+05,23296
2915,3.2580000000e+05,27308
2915,3.3550000000e+05,31168
2915,3.4380000000e+05,32728
2915,3.4650000000e+05,32330
2915,3.6240000000e+05,27540
2915,3.1800000000e+05,26990
2915,3.2320000000e+05,28838
2915,3.3320000000e+05,29257
2915,3.2280000000e+05,28180
2915,3.3230000000e+05,28968
3275,3.9140000000e+05,37529
3275,3.6620000000e+05,32112
3275,3.7450000000e+05,33598
3275,3.8240000000e+05,34547
3275,3.8300000000e+05,36104
3275,3.7990000000e+05,32839
3275,3.6740000000e+05,30835
3275,3.8110000000e+05,33953
3275,4.0380000000e+05,32712
3275,3.8960000000e+05,32500
3678,4.4880000000e+05,38950
3678,4.4050000000e+05,35605
3678,4.3330000000e+05,35510
3678,4.5130000000e+05,39864
3678,4.5530000000e+05,40226
3678,4.4670000000e+05,39808
3678,4.5690000000e+05,41509
3678,4.6700000000e+05,39503
3678,4.3680000000e+05,37506
3678,4.4350000000e+05,39710
4132,5.2310000000e+05,43015
4132,5.0840000000e+05,45211
4132,5.4130000000e+05,44895
4132,5.2440000000e+05,45852
4132,5.1600000000e+05,46377
4132,5.0380000000e+05,43922
4132,5.6880000000e+05,49850
4132,5.1410000000e+05,45203
4132,5.0960000000e+05,45379
4132,5.1460000000e+05,49537
4642,5.6020000000e+05,52352
4642,5.8640000000e+05,55808
4642,5.7820000000e+05,55833
4642,5.8250000000e+05,57201
4642,5.7650000000e+05,53130
4642,5.8410000000e+05,54308
4642,5.8320000000e+05,55043
4642,5.9820000000e+05,62856
4642,5.9210000000e+05,55493
4642,5.6910000000e+05,52970
5214,6.5060000000e+05,59890
5214,6.1370000000e+05,52844
5214,6.4190000000e+05,60907
5214,7.0570000000e+05,65260
5214,6.7880000000e+05,65944
5214,6.5700000000e+05,61801
5214,6.7230000000e+05,64379
5214,6.5340000000e+05,60203
5214,7.0580000000e+05,59735
5214,6.5290000000e+05,61488
5857,7.7020000000e+05,72879
5857,8.0840000000e+05,70853
5857,7.3020000000e+05,69610
5857,7.5740000000e+05,71769
5857,7.5550000000e+05,72997
5857,7.5520000000e+05,70281
5857,7.6450000000e+05,67689
5857,7.9990000000e+05,75285
5857,7.8950000000e+05,78562
5857,7.7660000000e+05,76318
6579,8.8090000000e+05,87389
6579,8.7190000000e+05,86390
6579,8.4640000000e+05,79551
6579,9.5990000000e+05,90618
6579,8.7990000000e+05,77340
6579,8.9960000000e+05,82565
6579,8.7860000000e+05,78419
6579,9.4010000000e+05,85030
6579,8.9950000000e+05,84469
6579,8.9830000000e+05,78300
7391,1.0277000000e+06,94952
7391,1.0729000000e+06,112555
7391,1.1031000000e+06,114803
7391,1.0461000000e+06,97438
7391,1.0283000000e+06,97799
7391,1.0355000000e+06,102281
7391,1.0346000000e+06,100818
7391,1.0916000000e+06,103433
7391,1.0366000000e+06,102882
7391,1.0993000000e+06,104794
8302,1.1631000000e+06,112806
8302,1.1617000000e+06,114800
8302,1.1723000000e+06,119234
8302,1.1512000000e+06,113214
8302,1.1785000000e+06,118314
8302,1.1537000000e+06,113671
8302,1.2219000000e+06,117194
8302,1.1710000000e+06,108162
8302,1.1636000000e+06,112145
8302,1.1752000000e+06,110014
9326,1.4607000000e+06,147022
9326,1.3888000000e+06,151379
9326,1.4248000000e+06,144085
9326,1.3755000000e+06,136638
9326,1.3846000000e+06,139198
9326,1.3130000000e+06,133209
9326,1.3433000000e+06,139676
9326,1.3430000000e+06,134303
9326,1.4061000000e+06,147055
9326,1.3403000000e+06,133143
10476,1.6016000000e+06,148961
10476,1.6493000000e+06,155631
10476,1.5505000000e+06,160078
10476,1.4854000000e+06,142255
10476,1.5673000000e+06,168796
10476,1.5265000000e+06,160091
10476,1.5366000000e+06,150720
10476,1.6202000000e+06,152808
10476,1.5221000000e+06,139660
10476,1.6437000000e+06,152885
11768,3.4593000000e+06,196754
11768,1.7965000000e+06,178875
11768,1.8360000000e+06,189865
11768,1.8179000000e+06,184062
11768,1.9619000000e+06,178274
11768,1.8443000000e+06,178372
11768,1.8040000000e+06,177178
11768,1.7732000000e+06,165738
11768,1.7774000000e+06,188559
11768,1.7393000000e+06,171607
13219,2.0075000000e+06,206949
13219,1.9786000000e+06,192595
13219,2.0368000000e+06,196972
13219,2.1158000000e+06,221508
13219,2.0382000000e+06,215623
13219,2.1275000000e+06,227248
13219,2.0651000000e+06,223436
13219,2.0537000000e+06,221597
13219,1.9949000000e+06,199454
13219,2.0218000000e+06,207364
14850,2.3185000000e+06,235202
14850,2.2891000000e+06,233340
14850,2.3961000000e+06,254020
14850,2.3113000000e+06,244177
14850,2.3617000000e+06,254312
14850,2.3453000000e+06,242568
14850,2.4007000000e+06,257493
14850,2.2611000000e+06,231148
14850,2.3368000000e+06,244207
14850,2.5474000000e+06,217928
16681,2.8623000000e+06,285641
16681,2.7803000000e+06,302856
16681,2.8208000000e+06,285396
16681,2.9382000000e+06,327530
16681,2.7451000000e+06,289219
16681,2.8160000000e+06,295704
16681,2.7463000000e+06,304392
16681,2.9156000000e+06,313431
16681,2.7241000000e+06,287631
16681,2.7405000000e+06,291332
18738,3.1108000000e+06,328091
18738,3.0989000000e+06,326679
18738,3.1825000000e+06,346785
18738,3.1966000000e+06,370124
18738,3.1282000000e+06,351146
18738,3.1827000000e+06,356640
18738,3.0644000000e+06,321701
18738,3.0492000000e+06,313373
18738,3.1923000000e+06,322352
18738,3.2081000000e+06,331794
21049,3.6808000000e+06,387774
21049,3.7378000000e+06,402766
21049,3.5110000000e+06,363038
21049,3.6209000000e+06,414866
21049,3.6262000000e+06,390175
21049,3.6303000000e+06,409413
21049,3.4413000000e+06,363368
21049,3.6318000000e+06,419276
21049,3.6041000000e+06,370345
21049,3.5975000000e+06,392350
23645,4.0459000000e+06,434744
23645,4.2574000000e+06,507913
23645,4.1374000000e+06,411684
23645,4.4740000000e+06,505110
23645,4.2547000000e+06,469992
23645,4.2574000000e+06,447138
23645,4.1684000000e+06,442158
23645,4.4025000000e+06,467081
23645,4.1741000000e+06,470897
23645,4.1689000000e+06,457217
26561,4.9393000000e+06,569624
26561,4.7475000000e+06,506298
26561,4.8654000000e+06,539722
26561,4.6983000000e+06,493278
26561,4.7170000000e+06,490938
26561,4.6778000000e+06,501227
26561,4.7637000000e+06,548410
26561,4.7747000000e+06,561964
26561,4.8484000000e+06,566721
26561,4.5523000000e+06,486477
29836,5.7566000000e+06,684295
29836,5.4089000000e+06,614588
29836,5.3575000000e+06,593223
29836,5.4765000000e+06,599385
29836,5.3184000000e+06,571834
29836,5.6212000000e+06,629645
29836,5.3613000000e+06,594611
29836,5.5582000000e+06,659040
29836,5.2172000000e+06,548340
29836,5.4221000000e+06,629485
33516,6.2639000000e+06,719047
33516,6.0478000000e+06,662762
33516,6.1986000000e+06,696658
33516,6.2680000000e+06,716420
33516,6.2964000000e+06,732677
33516,6.1185000000e+06,649751
33516,6.2468000000e+06,743749
33516,6.1941000000e+06,701634
33516,5.9702000000e+06,651803
33516,6.0795000000e+06,681038
37649,6.9662000000e+06,765674
37649,7.1571000000e+06,826257
37649,7.2246000000e+06,861064
37649,7.0428000000e+06,769872
37649,7.2519000000e+06,829372
37649,6.9349000000e+06,773949
37649,7.3041000000e+06,823104
37649,7.0658000000e+06,748518
37649,7.4171000000e+06,820797
37649,8.6412000000e+06,805193
42292,8.2988000000e+06,973924
42292,8.0527000000e+06,905527
42292,8.4739000000e+06,1043190
42292,8.5361000000e+06,1049764
42292,8.0739000000e+06,880830
42292,8.3791000000e+06,992568
42292,8.2529000000e+06,974880
42292,8.2727000000e+06,917528
42292,8.6898000000e+06,1009136
42292,8.4231000000e+06,976921
47508,9.6609000000e+06,1131149
47508,9.3475000000e+06,1088788
47508,9.2676000000e+06,1063208
47508,9.0691000000e+06,1021218
47508,9.4563000000e+06,1133954
47508,9.6070000000e+06,1182633
47508,9.4694000000e+06,1172701
47508,9.7540000000e+06,1168592
47508,9.5096000000e+06,1151932
47508,9.4380000000e+06,1101522
53367,1.0720800000e+07,1267290
53367,1.0950700000e+07,1317916
53367,1.0975200000e+07,1232783
53367,1.0681900000e+07,1260041
53367,1.0733400000e+07,1293512
53367,1.0434200000e+07,1201339
53367,1.0649300000e+07,1254452
53367,1.0923900000e+07,1289969
53367,1.0785700000e+07,1293859
53367,1.0614400000e+07,1279165
59948,1.2396800000e+07,1487376
59948,1.1899300000e+07,1357666
59948,1.2544100000e+07,1456525
59948,1.2330100000e+07,1446041
59948,1.2131400000e+07,1406669
59948,1.2080600000e+07,1419612
59948,1.4123600000e+07,1701905
59948,1.3763100000e+07,1435356
59948,1.2944900000e+07,1650957
59948,1.2379000000e+07,1512124
67342,1.3707900000e+07,1627326
67342,1.3911500000e+07,1572847
67342,1.4470800000e+07,1858314
67342,1.5825700000e+07,1798647
67342,1.3986700000e+07,1604792
67342,1.4650500000e+07,1775485
67342,1.3922400000e+07,1621516
67342,1.4393900000e+07,1703239
67342,1.5005400000e+07,1959284
67342,1.4306600000e+07,1696007
75646,1.6000200000e+07,1895835
75646,1.6398800000e+07,1975664
75646,1.6564100000e+07,2022173
75646,1.6607600000e+07,2075488
75646,1.6821900000e+07,2042759
75646,1.7043600000e+07,2169330
75646,1.8168600000e+07,2089445
75646,1.8812200000e+07,2018062
75646,1.7412400000e+07,1865065
75646,1.6674300000e+07,2106220
84975,2.1547100000e+07,2445471
84975,2.2103400000e+07,2417830
84975,2.0376200000e+07,2212341
84975,1.9350500000e+07,2475224
84975,1.8879000000e+07,2350842
84975,1.8686100000e+07,2222079
84975,1.9930600000e+07,2703350
84975,1.8472300000e+07,2239122
84975,1.8434200000e+07,2162495
84975,1.8399300000e+07,2228589
95455,2.1615600000e+07,2677546
95455,2.1881900000e+07,2798473
95455,2.1191700000e+07,2635199
95455,2.1073000000e+07,2583126
95455,2.1669700000e+07,2714400
95455,2.1176900000e+07,2605658
95455,2.1685300000e+07,2749911
95455,2.1060500000e+07,2570507
95455,2.1999400000e+07,2763340
95455,2.2037800000e+07,2751448
107227,2.4284800000e+07,2977967
107227,2.4677300000e+07,3105131
107227,2.5035400000e+07,2922453
107227,2.4653100000e+07,3155457
107227,2.5122700000e+07,3291558
107227,2.3840900000e+07,2891436
107227,2.5386400000e+07,3355291
107227,2.4451700000e+07,3076458
107227,2.5581900000e+07,3374114
107227,2.4865600000e+07,3160107
120450,2.9824800000e+07,3629346
120450,2.8501100000e+07,3698580
120450,2.7598200000e+07,3423510
120450,2.7743700000e+07,3523840
120450,2.9565800000e+07,4027678
120450,2.7511200000e+07,3274396
120450,2.7981400000e+07,3530872
120450,2.7121200000e+07,3274151
120450,2.9339400000e+07,3964687
120450,2.7858000000e+07,3507973
135305,3.2580100000e+07,4057633
135305,3.5183900000e+07,4479250
135305,3.3450600000e+07,4264302
135305,3.2958300000e+07,4205234
135305,3.3333400000e+07,4518000
135305,3.3827600000e+07,4080577
135305,3.2656200000e+07,4366067
135305,3.2137800000e+07,4209585
135305,3.1631100000e+07,4017121
135305,3.2555600000e+07,4299885
151991,3.6727200000e+07,4840863
151991,3.7606800000e+07,4972486
151991,3.6793200000e+07,4624550
151991,3.8728300000e+07,5143737
151991,3.6370200000e+07,4689879
151991,3.7001900000e+07,4767632
151991,3.8559600000e+07,5424114
151991,3.5858500000e+07,4514785
151991,3.7344600000e+07,4958307
151991,3.9187700000e+07,5066820
170735,4.3134900000e+07,5845731
170735,4.3216500000e+07,5894497
170735,4.3540100000e+07,5846426
170735,4.3208200000e+07,5871684
170735,4.2130400000e+07,5486286
170735,4.2339200000e+07,5643592
170735,4.1725900000e+07,5470700
170735,4.2597700000e+07,5617298
170735,4.0681700000e+07,5122458
170735,4.0989600000e+07,5051215
191791,4.8394200000e+07,6393996
191791,4.9824900000e+07,6872625
191791,5.1752400000e+07,7138282
191791,4.9551800000e+07,6476192
191791,5.1527700000e+07,6595359
191791,5.0440000000e+07,6616999
191791,4.8901200000e+07,6462667
191791,5.0624900000e+07,6802070
191791,5.2934500000e+07,7573321
191791,4.8848600000e+07,6151092
215443,5.3978600000e+07,6925391
215443,5.3925900000e+07,7143005
215443,5.7151000000e+07,8051905
215443,5.6171500000e+07,7753249
215443,5.7808200000e+07,8158269
215443,5.4642000000e+07,7306050
215443,5.4793300000e+07,7392494
215443,5.5154800000e+07,7313562
215443,5.7978500000e+07,8105779
215443,5.5669900000e+07,7487072
242013,6.4954400000e+07,8766581
242013,6.3525100000e+07,8649422
242013,6.4915700000e+07,8961234
242013,6.6856900000e+07,8669888
242013,6.3864200000e+07,8834417
242013,6.4345400000e+07,8583912
242013,6.6285400000e+07,9346483
242013,6.5792900000e+07,8529951
242013,6.5284600000e+07,9280335
242013,6.5890000000e+07,9324880
271859,7.4239100000e+07,10475446
271859,7.3889000000e+07,10416033
271859,7.5460400000e+07,10675555
271859,7.6266000000e+07,10648899
271859,7.3232100000e+07,10121717
271859,7.5026900000e+07,10612387
271859,7.2904300000e+07,10086171
271859,7.1471900000e+07,9649999
271859,7.5393600000e+07,10318756
271859,7.1107300000e+07,9721887
305386,8.4104600000e+07,11910613
305386,8.4174200000e+07,11474020
305386,8.4680900000e+07,11967482
305386,8.4730000000e+07,11799742
305386,8.8206600000e+07,13070346
305386,8.7588200000e+07,12893699
305386,8.4054200000e+07,11742925
305386,8.6764400000e+07,12619715
305386,8.4825300000e+07,12136421
305386,8.5716600000e+07,11911856
343047,9.5231800000e+07,13380449
343047,1.0389470000e+08,15462529
343047,9.7302500000e+07,13792067
343047,9.7579100000e+07,13895821
343047,9.6796000000e+07,13735876
343047,9.5733400000e+07,13325081
343047,1.0364290000e+08,15738734
343047,9.9557900000e+07,14537361
343047,9.7430700000e+07,13777694
343047,9.7523500000e+07,13261541
385353,1.0807760000e+08,14939563
385353,1.1576130000e+08,16937713
385353,1.1338670000e+08,16410229
385353,1.1108980000e+08,15777738
385353,1.0922000000e+08,14973414
385353,1.1092810000e+08,15556807
385353,1.1734430000e+08,17522028
385353,1.1116360000e+08,15720924
385353,1.1486280000e+08,16885069
385353,1.1281450000e+08,16215073
432876,1.3100730000e+08,19193091
432876,1.3547140000e+08,20673688
432876,1.3094870000e+08,19053083
432876,1.2848250000e+08,18702060
432876,1.2877160000e+08,18790407
432876,1.3223530000e+08,19252551
432876,1.3253220000e+08,19654848
432876,1.3312270000e+08,19992379
432876,1.3428700000e+08,20278776
432876,1.3034740000e+08,19066669
486260,1.5604990000e+08,24253852
486260,1.4882540000e+08,22087954
486260,1.4875710000e+08,21498355
486260,1.4707080000e+08,21434266
486260,1.5168620000e+08,22847822
486260,1.4995840000e+08,21728165
486260,1.5735820000e+08,22183867
486260,1.4914750000e+08,22029707
486260,1.4783480000e+08,21508598
486260,1.4378840000e+08,20665481
546228,1.7681620000e+08,27089703
546228,1.6995120000e+08,24848016
546228,1.7044340000e+08,24992578
546228,1.6512390000e+08,24074580
546228,1.7653880000e+08,26842860
546228,1.6417460000e+08,23306031
546228,1.6998010000e+08,25124856
546228,1.7819430000e+08,27438504
546228,1.7217190000e+08,25555040
546228,1.7451180000e+08,26265651
613591,1.9834600000e+08,30123874
613591,1.9502510000e+08,29183309
613591,1.9523410000e+08,29115816
613591,2.0408070000e+08,31476625
613591,1.9951330000e+08,30049383
613591,1.9725060000e+08,29289986
613591,2.1088840000e+08,33720278
613591,2.0545340000e+08,31793854
613591,1.9231020000e+08,28455173
613591,2.0356240000e+08,31367737
689261,2.2188050000e+08,32977347
689261,2.2431100000e+08,34082119
689261,2.2171170000e+08,32831817
689261,2.2391090000e+08,33626176
689261,2.2556130000e+08,34646414
689261,2.4107650000e+08,38587147
689261,2.2502410000e+08,34348129
689261,2.2386050000e+08,33066082
689261,2.2890130000e+08,35609516
689261,2.1873990000e+08,32591360
774264,2.5514490000e+08,38547115
774264,2.5706310000e+08,39030604
774264,2.7493890000e+08,44021864
774264,2.5614730000e+08,39207694
774264,2.5962430000e+08,38871562
774264,2.6936310000e+08,42157446
774264,2.5287210000e+08,38359256
774264,2.5918240000e+08,39759757
774264,2.5767880000e+08,39532937
774264,2.5373640000e+08,38159911
869749,2.9367400000e+08,45436653
869749,2.8849520000e+08,44285021
869749,2.9714610000e+08,46386290
869749,3.0217780000e+08,48223664
869749,2.9385000000e+08,45478615
869749,3.0993680000e+08,50278964
869749,2.8830970000e+08,44088140
869749,3.0691150000e+08,49327002
869749,2.9050350000e+08,42064085
869749,3.0521730000e+08,48582074
977010,3.4780290000e+08,54360877
977010,3.4707890000e+08,53144798
977010,3.4951660000e+08,51722998
977010,3.4892380000e+08,55251913
977010,3.4764390000e+08,55650622
977010,3.2657740000e+08,49877567
977010,3.4803710000e+08,56292267
977010,3.3324490000e+08,51628835
977010,3.4088410000e+08,54178761
977010,3.4535940000e+08,54633052
